nama_toko,folder_toko,jenis,kunci,tipe,file_lokal,url,ukuran_byte
Graphica Key,toko1,JIBBITZ,JB-0000001,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000001.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000001.png,299497
Graphica Key,toko1,JIBBITZ,JB-0000002,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000002.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000002.png,268124
Graphica Key,toko1,JIBBITZ,JB-0000003,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000003.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000003.png,267945
Graphica Key,toko1,JIBBITZ,JB-0000004,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000004.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000004.png,256422
Graphica Key,toko1,JIBBITZ,JB-0000005,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000005.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000005.png,284151
Graphica Key,toko1,JIBBITZ,JB-0000006,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000006.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000006.png,216461
Graphica Key,toko1,JIBBITZ,JB-0000007,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000007.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000007.png,273703
Graphica Key,toko1,JIBBITZ,JB-0000008,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000008.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000008.png,269169
Graphica Key,toko1,JIBBITZ,JB-0000009,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000009.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000009.png,247575
Graphica Key,toko1,JIBBITZ,JB-0000010,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000010.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000010.png,265012
Graphica Key,toko1,JIBBITZ,JB-0000011,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000011.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000011.png,230433
Graphica Key,toko1,JIBBITZ,JB-0000012,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000012.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000012.png,204228
Graphica Key,toko1,JIBBITZ,JB-0000013,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000013.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000013.png,247512
Graphica Key,toko1,JIBBITZ,JB-0000014,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000014.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000014.png,193558
Graphica Key,toko1,JIBBITZ,JB-0000015,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000015.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000015.png,239681
Graphica Key,toko1,JIBBITZ,JB-0000016,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000016.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000016.png,250278
Graphica Key,toko1,JIBBITZ,JB-0000017,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000017.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000017.png,219217
Graphica Key,toko1,JIBBITZ,JB-0000018,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000018.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000018.png,244216
Graphica Key,toko1,JIBBITZ,JB-0000019,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000019.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000019.png,207739
Graphica Key,toko1,JIBBITZ,JB-0000020,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000020.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000020.png,250538
Graphica Key,toko1,JIBBITZ,JB-0000021,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000021.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000021.png,243955
Graphica Key,toko1,JIBBITZ,JB-0000022,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000022.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000022.png,293907
Graphica Key,toko1,JIBBITZ,JB-0000023,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000023.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000023.png,238996
Graphica Key,toko1,JIBBITZ,JB-0000024,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000024.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000024.png,277094
Graphica Key,toko1,JIBBITZ,JB-0000025,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000025.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000025.png,273141
Graphica Key,toko1,JIBBITZ,JB-0000026,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000026.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000026.png,221291
Graphica Key,toko1,JIBBITZ,JB-0000027,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000027.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000027.png,234457
Graphica Key,toko1,JIBBITZ,JB-0000028,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000028.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000028.png,258844
Graphica Key,toko1,JIBBITZ,JB-0000029,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000029.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000029.png,260305
Graphica Key,toko1,JIBBITZ,JB-0000030,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000030.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000030.png,264104
Graphica Key,toko1,JIBBITZ,JB-0000031,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000031.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000031.png,214358
Graphica Key,toko1,JIBBITZ,JB-0000032,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000032.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000032.png,251926
Graphica Key,toko1,JIBBITZ,JB-0000033,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000033.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000033.png,272782
Graphica Key,toko1,JIBBITZ,JB-0000034,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000034.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000034.png,181851
Graphica Key,toko1,JIBBITZ,JB-0000035,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000035.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000035.png,228310
Graphica Key,toko1,JIBBITZ,JB-0000036,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000036.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000036.png,218955
Graphica Key,toko1,JIBBITZ,JB-0000037,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000037.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000037.png,241881
Graphica Key,toko1,JIBBITZ,JB-0000038,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000038.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000038.png,214890
Graphica Key,toko1,JIBBITZ,JB-0000039,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000039.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000039.png,228169
Graphica Key,toko1,JIBBITZ,JB-0000040,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000040.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000040.png,216038
Graphica Key,toko1,JIBBITZ,JB-0000041,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000041.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000041.png,241247
Graphica Key,toko1,JIBBITZ,JB-0000042,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000042.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000042.png,246160
Graphica Key,toko1,JIBBITZ,JB-0000043,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000043.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000043.png,247488
Graphica Key,toko1,JIBBITZ,JB-0000044,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000044.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000044.png,248382
Graphica Key,toko1,JIBBITZ,JB-0000045,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000045.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000045.png,250256
Graphica Key,toko1,JIBBITZ,JB-0000046,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000046.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000046.png,206615
Graphica Key,toko1,JIBBITZ,JB-0000047,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000047.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000047.png,183357
Graphica Key,toko1,JIBBITZ,JB-0000048,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000048.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000048.png,221378
Graphica Key,toko1,JIBBITZ,JB-0000049,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000049.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000049.png,195010
Graphica Key,toko1,JIBBITZ,JB-0000050,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000050.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000050.png,197643
Graphica Key,toko1,JIBBITZ,JB-0000051,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000051.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000051.png,257007
Graphica Key,toko1,JIBBITZ,JB-0000052,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000052.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000052.png,274194
Graphica Key,toko1,JIBBITZ,JB-0000053,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000053.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000053.png,287878
Graphica Key,toko1,JIBBITZ,JB-0000054,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000054.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000054.png,257412
Graphica Key,toko1,JIBBITZ,JB-0000055,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000055.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000055.png,276351
Graphica Key,toko1,JIBBITZ,JB-0000056,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000056.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000056.png,275376
Graphica Key,toko1,JIBBITZ,JB-0000057,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000057.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000057.png,281306
Graphica Key,toko1,JIBBITZ,JB-0000058,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000058.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000058.png,212854
Graphica Key,toko1,JIBBITZ,JB-0000059,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000059.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000059.png,221180
Graphica Key,toko1,JIBBITZ,JB-0000060,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000060.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000060.png,219893
Graphica Key,toko1,JIBBITZ,JB-0000061,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000061.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000061.png,245075
Graphica Key,toko1,JIBBITZ,JB-0000062,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000062.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000062.png,225586
Graphica Key,toko1,JIBBITZ,JB-0000063,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000063.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000063.png,228269
Graphica Key,toko1,JIBBITZ,JB-0000064,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000064.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000064.png,233493
Graphica Key,toko1,JIBBITZ,JB-0000065,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000065.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000065.png,175878
Graphica Key,toko1,JIBBITZ,JB-0000066,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000066.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000066.png,185883
Graphica Key,toko1,JIBBITZ,JB-0000067,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000067.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000067.png,190932
Graphica Key,toko1,JIBBITZ,JB-0000068,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000068.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000068.png,182034
Graphica Key,toko1,JIBBITZ,JB-0000069,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000069.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000069.png,188611
Graphica Key,toko1,JIBBITZ,JB-0000070,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000070.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000070.png,192975
Graphica Key,toko1,JIBBITZ,JB-0000071,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000071.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000071.png,181031
Graphica Key,toko1,JIBBITZ,JB-0000072,varian,E:\Project\Mass upload shopee\foto-upload\toko1\jibbitz\JB-0000072.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko1/jibbitz/JB-0000072.png,175533
